"invoice_id","branch","city","category","unit_price","quantity","date","time","payment_method","rating","profit_margin","total_price","shift","day_name","unit_price_diff_from_cat_avg"
"1","WALM003","San Antonio","Health and beauty","74.69","7","2019-01-05","13:08:00","Ewallet","9.1","0.48","522.83","Afternoon","Saturday","19.84"
"2","WALM048","Harlingen","Electronic accessories","15.28","5","2019-03-08","10:29:00","Cash","9.6","0.48","76.4","Morning","Friday","-36.36"
"3","WALM067","Haltom City","Home and lifestyle","46.33","7","2019-03-03","13:23:00","Credit card","7.4","0.33","324.31","Afternoon","Sunday","-4.11"
"4","WALM064","Bedford","Health and beauty","58.22","8","2019-01-27","20:33:00","Ewallet","8.4","0.33","465.76","Evening","Sunday","3.37"
"5","WALM013","Irving","Sports and travel","86.31","7","2019-02-08","10:37:00","Ewallet","5.3","0.48","604.17","Morning","Friday","29.32"
"6","WALM026","Denton","Electronic accessories","85.39","7","2019-03-25","18:30:00","Ewallet","4.1","0.48","597.73","Evening","Monday","33.75"
"7","WALM088","Cleburne","Electronic accessories","68.84","6","2019-02-25","14:36:00","Ewallet","5.8","0.33","413.04","Afternoon","Monday","17.2"
"8","WALM100","Canyon","Home and lifestyle","73.56","10","2019-02-24","11:38:00","Ewallet","8","0.18","735.6","Morning","Sunday","23.12"
"9","WALM066","Grapevine","Health and beauty","36.26","2","2019-01-10","17:15:00","Credit card","7.2","0.33","72.52","Evening","Thursday","-18.59"
"10","WALM065","Texas City","Food and beverages","54.84","3","2019-02-20","13:27:00","Credit card","5.9","0.33","164.52","Afternoon","Wednesday","-1.17"
"11","WALM013","Irving","Fashion accessories","14.48","4","2019-02-06","18:07:00","Ewallet","4.5","0.48","57.92","Evening","Wednesday","-35.64"
"12","WALM035","San Angelo","Electronic accessories","25.51","4","2019-03-09","17:03:00","Cash","6.8","0.48","102.04","Evening","Saturday","-26.13"
"13","WALM027","Abilene","Electronic accessories","46.95","5","2019-02-12","10:25:00","Ewallet","7.1","0.48","234.75","Morning","Tuesday","-4.69"
"14","WALM035","San Angelo","Food and beverages","43.19","10","2019-02-07","16:48:00","Ewallet","8.2","0.48","431.9","Afternoon","Thursday","-12.82"
